,0
0,43.564353942871094
1,64.35643768310547
2,51.48514938354492
3,48.51485061645508
4,59.405941009521484
5,53.46534729003906
6,74.2574234008789
7,76.23762512207031
8,64.35643768310547
9,61.386138916015625
10,77.22772216796875
11,65.3465347290039
12,84.15841674804688
13,82.17821502685547
14,85.14851379394531
15,91.08910369873047
16,87.12870788574219
17,88.11881256103516
18,92.07920837402344
19,92.07920837402344
20,96.03960418701172
21,94.05940246582031
22,97.02970123291016
23,97.02970123291016
24,97.02970123291016
25,98.0197982788086
26,97.02970123291016
27,97.02970123291016
28,98.0197982788086
29,99.00990295410156
30,100.0
31,99.00990295410156
32,99.00990295410156
33,100.0
34,98.0197982788086
35,99.00990295410156
36,99.00990295410156
37,98.0197982788086
38,99.00990295410156
39,99.00990295410156
40,97.02970123291016
41,98.0197982788086
42,97.02970123291016
43,100.0
44,99.00990295410156
45,99.00990295410156
46,99.00990295410156
47,97.02970123291016
48,97.02970123291016
49,98.0197982788086
