,0
0,0.9978652564841922
1,0.9402292747308712
2,0.8727053659387155
3,0.7971392007157354
4,0.65771342014322186
5,0.5902236710090448
6,0.4254181850369614
7,0.37199958220566856
8,0.21724956150692287
9,0.17987905848439378
10,0.1433807128653078
11,0.1167413595289287
12,0.09506172358547108
13,0.07662758810242803
14,0.06331235262574536
15,0.05347309949448203
16,0.04833088201092611
17,0.039821651183290056
18,0.033204163138819215
19,0.030824584536033102
20,0.027007428274517603
21,0.025938214144051664
22,0.022129771539406613
23,0.020888580027783273
24,0.018919236358660874
25,0.018479377911933284
26,0.01601058410683481
27,0.01530925267016386
28,0.014712572236093555
29,0.013237202337177673
30,0.011321478592471616
31,0.012795724647838881
32,0.012283487236219467
33,0.011440968666557628
34,0.012219468721806412
35,0.012037209368836467
36,0.012342400871918048
37,0.011693320794971568
38,0.012809118906054462
39,0.011367283941311116
40,0.011505008264822831
41,0.012059619470434909
42,0.010843534861682075
43,0.011274187392232442
44,0.010819794771510481
45,0.011158716784200013
46,0.010944401435000767
47,0.01177496360707106
48,0.01110653860245527
49,0.011043003746446702
