Wall time,Step,Value
1673293203.335665,0,0.7047430872917175
1673293203.449869,1,0.439121812582016
1673293203.550364,2,0.3083602786064148
1673293203.654394,3,0.22804905474185944
1673293203.744641,4,0.17545020580291748
1673293203.826286,5,0.13894255459308624
1673293203.917292,6,0.11262448877096176
1673293203.998552,7,0.09257613122463226
1673293204.085365,8,0.07694742828607559
1673293204.173875,9,0.06433041393756866
1673293204.255297,10,0.054542820900678635
1673293204.340355,11,0.04683300107717514
1673293204.42434,12,0.040663596242666245
1673293204.506586,13,0.03571051359176636
1673293204.580103,14,0.03161678463220596
1673293204.659764,15,0.02816537767648697
1673293204.736484,16,0.025221271440386772
1673293204.823205,17,0.022676942870020866
1673293204.935791,18,0.02043907716870308
1673293205.012824,19,0.018488382920622826
1673293205.093353,20,0.016757529228925705
1673293205.17187,21,0.015221746638417244
1673293205.251305,22,0.013860366307199001
1673293205.33152,23,0.012654989957809448
1673293205.421941,24,0.01157090812921524
1673293205.506225,25,0.010607760399580002
1673293205.587378,26,0.009738614782691002
1673293205.670096,27,0.008969438262283802
1673293205.756388,28,0.008285964839160442
1673293205.835155,29,0.007681932765990496
1673293205.92085,30,0.00714186392724514
1673293206.003566,31,0.006657271180301905
1673293206.081808,32,0.006222713738679886
1673293206.170299,33,0.005830017849802971
1673293206.250434,34,0.0054745301604270935
1673293206.333211,35,0.005151968915015459
1673293206.413001,36,0.004859177861362696
1673293206.493643,37,0.004591179080307484
1673293206.5752,38,0.004345952533185482
1673293206.65916,39,0.00412063580006361
1673293206.739479,40,0.003913146909326315
1673293206.887792,41,0.0037200571969151497
1673293207.052092,42,0.0035406695678830147
1673293207.383006,43,0.003373423358425498
1673293207.524591,44,0.0032173641957342625
1673293207.67088,45,0.0030713602900505066
1673293207.828566,46,0.002935083582997322
1673293207.974758,47,0.002807851880788803
1673293208.120814,48,0.0026890127919614315
1673293208.261438,49,0.0025777691043913364
1673293208.40778,50,0.002473735949024558
1673293208.567079,51,0.0023760192561894655
1673293208.704441,52,0.002283981768414378
1673293208.85327,53,0.0021967741195112467
1673293209.017258,54,0.0021140030585229397
1673293209.166738,55,0.002035805955529213
1673293209.314445,56,0.0019620046950876713
1673293209.463754,57,0.0018921282608062029
1673293209.618076,58,0.0018260402139276266
1673293209.7584,59,0.0017633350798860192
1673293209.931398,60,0.0017038473160937428
1673293210.085177,61,0.0016474219737574458
1673293210.238051,62,0.0015937222633510828
1673293210.400848,63,0.001542662619613111
1673293210.577988,64,0.0014941158005967736
1673293210.731665,65,0.00144781987182796
1673293210.906852,66,0.0014036577194929123
1673293211.105004,67,0.001361622242256999
1673293211.263523,68,0.0013215448707342148
1673293211.420352,69,0.0012831301428377628
1673293211.565897,70,0.0012463419698178768
1673293211.734103,71,0.0012111262185499072
1673293211.884235,72,0.0011773670557886362
1673293212.060992,73,0.001145056914538145
1673293212.211877,74,0.0011141860159114003
1673293212.367346,75,0.0010846012737601995
1673293212.518697,76,0.0010562294628471136
1673293212.665767,77,0.0010290172649547458
1673293212.818577,78,0.0010028327815234661
1673293212.970291,79,0.0009776619262993336
1673293213.12095,80,0.0009534182026982307
1673293213.300537,81,0.0009300849633291364
1673293213.478225,82,0.0009076099377125502
1673293213.636068,83,0.0008860116358846426
1673293213.819186,84,0.0008651611860841513
1673293213.970508,85,0.0008450492168776691
1673293214.124362,86,0.000825611175969243
1673293214.282788,87,0.0008068106835708022
1673293214.445213,88,0.0007886260864324868
1673293214.59847,89,0.0007709247292950749
1673293214.753451,90,0.000753769651055336
1673293214.899758,91,0.0007371676038019359
1673293215.045892,92,0.0007211189949885011
1673293215.187029,93,0.0007055813330225646
1673293215.348909,94,0.0006905642221681774
1673293215.492398,95,0.0006760104442946613
1673293215.649483,96,0.0006619298947043717
1673293215.809598,97,0.0006482296739704907
1673293215.973025,98,0.0006349204340949655
1673293216.128666,99,0.0006219895440153778
