Wall time,Step,Value
1673190332.351756,0,0.5751222968101501
1673190332.452953,1,0.21891245245933533
1673190332.558299,2,0.11046835780143738
1673190332.666449,3,0.06408630311489105
1673190332.778563,4,0.041310202330350876
1673190332.882484,5,0.02825452759861946
1673190333.002792,6,0.02016076073050499
1673190333.122795,7,0.015049348585307598
1673190333.237635,8,0.011617386713624
1673190335.128212,9,0.009216097183525562
1673190335.232953,10,0.007446227595210075
1673190335.338873,11,0.0061464132741093636
1673190335.441571,12,0.005198001395910978
1673190335.547998,13,0.004496139939874411
1673190335.647629,14,0.0039433687925338745
1673190335.77566,15,0.003504925174638629
1673190335.931667,16,0.003153529018163681
1673190338.205558,17,0.002867272589355707
1673190338.316021,18,0.0026283746119588614
1673190338.415899,19,0.002425704151391983
1673190338.52245,20,0.0022516956087201834
1673190338.629881,21,0.0021000527776777744
1673190338.739492,22,0.001965415431186557
1673190338.884044,23,0.0018454937962815166
1673190339.00425,24,0.0017375585157424212
1673190339.137017,25,0.001639499212615192
1673190341.031805,26,0.00155025499407202
1673190341.144685,27,0.001468835980631411
1673190341.259825,28,0.001394568826071918
1673190341.371481,29,0.0013261695858091116
1673190341.470609,30,0.0012630053097382188
1673190341.586038,31,0.0012046596966683865
1673190341.687177,32,0.0011504952562972903
1673190341.818391,33,0.0011000997619703412
1673190341.920627,34,0.0010531076695770025
1673190343.605101,35,0.001009191619232297
1673190343.723846,36,0.0009680548682808876
1673190343.850311,37,0.0009294577175751328
1673190343.981184,38,0.0008932305499911308
1673190344.106248,39,0.0008591922232881188
1673190344.280653,40,0.0008270044927485287
1673190344.39671,41,0.0007961904630064964
1673190344.497787,42,0.0007668524049222469
1673190344.607561,43,0.0007390199461951852
1673190344.738464,44,0.0007126255077309906
1673190346.98212,45,0.0006876041297800839
1673190347.090044,46,0.0006638914928771555
1673190347.197364,47,0.0006413990049622953
1673190347.296466,48,0.000620243779849261
1673190347.403188,49,0.0006001585279591382
1673190347.505799,50,0.0005810850416310132
1673190347.608216,51,0.0005629495135508478
1673190347.711124,52,0.00054568873019889
1673190347.836231,53,0.0005292546702548862
1673190349.6851,54,0.0005135843530297279
1673190349.823777,55,0.0004986206768080592
1673190349.960349,56,0.000484318909002468
1673190350.094938,57,0.00047061051009222865
1673190350.240758,58,0.0004574493214022368
1673190350.3445,59,0.00044483845704235137
1673190350.444114,60,0.00043275265488773584
1673190350.550525,61,0.0004211758205201477
1673190352.253311,62,0.00041008330299519
1673190352.372915,63,0.00039943723822943866
1673190352.474505,64,0.00038921996019780636
1673190352.578166,65,0.0003794112126342952
1673190352.688762,66,0.0003699970548041165
1673190352.830389,67,0.00036092271329835057
1673190352.9729,68,0.0003521823091432452
1673190353.103462,69,0.0003437630657572299
1673190354.772025,70,0.0003356530796736479
1673190354.926155,71,0.0003278359363321215
1673190355.074797,72,0.000320293300319463
1673190355.295497,73,0.000313008320517838
1673190355.407619,74,0.00030594912823289633
1673190355.51086,75,0.0002991227665916085
1673190355.633352,76,0.00029251319938339293
1673190355.734025,77,0.0002861260436475277
1673190355.849391,78,0.0002799482026603073
1673190358.05229,79,0.00027397568919695914
1673190358.156516,80,0.0002681943296920508
1673190358.264643,81,0.0002626000205054879
1673190358.374141,82,0.0002571822260506451
1673190358.489005,83,0.00025193564943037927
1673190358.604672,84,0.00024685138487257063
1673190358.704952,85,0.00024191586999222636
1673190358.835794,86,0.00023713009431958199
1673190358.971764,87,0.00023248736397363245
1673190360.95843,88,0.00022797529527451843
1673190361.076114,89,0.00022360339062288404
1673190361.203442,90,0.00021934867254458368
1673190361.315885,91,0.00021521872258745134
1673190361.439534,92,0.00021120590099599212
1673190361.564854,93,0.00020730959658976644
1673190361.690857,94,0.00020351819694042206
1673190361.828538,95,0.000199833870283328
1673190361.943159,96,0.00019623368280008435
1673190364.131203,97,0.00019271303608547896
1673190364.23213,98,0.00018928360077552497
1673190364.338977,99,0.00018593711138237268
