Wall time,Step,Value
1673200522.576698,0,0.576418936252594
1673200522.724097,1,0.33972597122192383
1673200522.855896,2,0.22991186380386353
1673200522.989599,3,0.16075803339481354
1673200523.105624,4,0.11575645208358765
1673200523.22411,5,0.08567386120557785
1673200523.349689,6,0.0647415816783905
1673200523.464996,7,0.049980346113443375
1673200523.569373,8,0.03918659687042236
1673200523.689798,9,0.03130582720041275
1673200523.800084,10,0.025411996990442276
1673200523.912741,11,0.020903170108795166
1673200524.020692,12,0.017475957050919533
1673200524.122612,13,0.014749446883797646
1673200524.23088,14,0.012628477066755295
1673200524.34842,15,0.010992413386702538
1673200524.452804,16,0.009636815637350082
1673200524.554242,17,0.008539174683392048
1673200524.648014,18,0.007646599784493446
1673200524.746407,19,0.006857054773718119
1673200524.862653,20,0.006167544983327389
1673200524.966289,21,0.0055859084241092205
1673200525.065663,22,0.005077772308140993
1673200525.17499,23,0.0046402751468122005
1673200525.269927,24,0.0042562964372336864
1673200525.382128,25,0.003920653834939003
1673200525.497586,26,0.0036326900590211153
1673200525.601899,27,0.003367635188624263
1673200525.708826,28,0.0031349463388323784
1673200525.80781,29,0.00292607257142663
1673200525.90179,30,0.0027354315388947725
1673200526.007093,31,0.002563559217378497
1673200526.120018,32,0.0024076399859040976
1673200526.221943,33,0.002264802111312747
1673200526.332853,34,0.0021355559583753347
1673200526.458928,35,0.002014929661527276
1673200526.559641,36,0.0019029979594051838
1673200526.664908,37,0.00179920659866184
1673200526.763368,38,0.0017046477878466249
1673200526.874427,39,0.001617532572709024
1673200526.966935,40,0.0015368774766102433
1673200527.081637,41,0.0014625716721639037
1673200527.176354,42,0.0013938534539192915
1673200527.286997,43,0.001330099650658667
1673200527.400675,44,0.0012709328439086676
1673200527.49994,45,0.0012155633885413408
1673200527.618168,46,0.0011641847668215632
1673200527.727641,47,0.001116011873818934
1673200527.833788,48,0.001071164500899613
1673200527.938636,49,0.0010291587095707655
1673200528.035209,50,0.0009891538647934794
1673200528.133475,51,0.0009517650469206274
1673200528.256044,52,0.0009163824724964797
1673200528.361895,53,0.0008829862345010042
1673200528.461613,54,0.0008515911176800728
1673200528.57533,55,0.0008217788999900222
1673200528.668165,56,0.0007935573812574148
1673200528.774314,57,0.0007668657344765961
1673200528.870229,58,0.0007415097206830978
1673200528.975348,59,0.0007173176272772253
1673200529.069974,60,0.0006944360793568194
1673200529.174674,61,0.0006726498249918222
1673200529.291414,62,0.000651904905680567
1673200529.400661,63,0.0006321154651232064
1673200529.508333,64,0.000613354321103543
1673200529.607324,65,0.0005953669897280633
1673200529.72346,66,0.0005782513180747628
1673200529.84107,67,0.000561785651370883
1673200529.948181,68,0.0005460816901177168
1673200530.053568,69,0.0005310361739248037
1673200530.157447,70,0.000516582396812737
1673200530.255959,71,0.0005027488223277032
1673200530.362791,72,0.0004894692683592439
1673200530.470569,73,0.00047678002738393843
1673200530.568678,74,0.000464540789835155
1673200530.662857,75,0.00045279154437594116
1673200530.765651,76,0.0004414887516759336
1673200530.868707,77,0.0004305839538574219
1673200530.963261,78,0.0004201285482849926
1673200531.063398,79,0.0004100520454812795
1673200531.160666,80,0.0004003308422397822
1673200531.261618,81,0.00039098289562389255
1673200531.359443,82,0.0003819803532678634
1673200531.45986,83,0.00037328514736145735
1673200531.55658,84,0.0003649127611424774
1673200531.655855,85,0.000356801669113338
1673200531.753152,86,0.00034892724943347275
1673200531.853961,87,0.00034132497967220843
1673200531.958052,88,0.00033395076752640307
1673200532.057582,89,0.00032684384495951235
1673200532.15904,90,0.00031992074218578637
1673200532.2561,91,0.00031324222800321877
1673200532.36037,92,0.0003067601646762341
1673200532.458171,93,0.0003004827885888517
1673200532.559984,94,0.000294415804091841
1673200532.656231,95,0.0002885237627197057
1673200532.762266,96,0.0002828527067322284
1673200532.898112,97,0.0002773004525806755
1673200533.00685,98,0.00027191941626369953
1673200533.122839,99,0.0002667121298145503
