Wall time,Step,Value
1673188091.930354,0,0.7001650929450989
1673188092.087479,1,0.2214335948228836
1673188092.236226,2,0.10773369669914246
1673188092.357644,3,0.060931023210287094
1673188092.49017,4,0.03811754658818245
1673188092.605182,5,0.025519011542201042
1673188092.716639,6,0.018197663128376007
1673188092.841732,7,0.013601386919617653
1673188092.950146,8,0.010606547817587852
1673188093.060123,9,0.008563377894461155
1673188093.159364,10,0.007123876828700304
1673188093.26057,11,0.00610496336594224
1673188093.361898,12,0.005345190409570932
1673188093.464596,13,0.004753508605062962
1673188093.574539,14,0.0042821746319532394
1673188093.684139,15,0.003898591035977006
1673188093.786637,16,0.003578928066417575
1673188093.886394,17,0.00330739957280457
1673188093.991584,18,0.003073099534958601
1673188094.102429,19,0.0028681564144790173
1673188094.211314,20,0.002685717772692442
1673188094.322508,21,0.0025212308391928673
1673188094.426399,22,0.00237373192794621
1673188094.530708,23,0.002240312984213233
1673188094.637012,24,0.00211820425465703
1673188094.751916,25,0.002006241586059332
1673188094.858219,26,0.001903943601064384
1673188094.968048,27,0.0018097648862749338
1673188095.067863,28,0.0017224675975739956
1673188095.166141,29,0.0016415328718721867
1673188095.26263,30,0.001566370134241879
1673188095.361458,31,0.0014964452711865306
1673188095.459432,32,0.0014312664279714227
1673188095.562166,33,0.0013703984441235662
1673188095.658098,34,0.0013134208275005221
1673188095.762567,35,0.0012600412592291832
1673188095.869864,36,0.0012097774306312203
1673188095.973415,37,0.001162288710474968
1673188096.076227,38,0.0011174195678904653
1673188096.181837,39,0.0010750372894108295
1673188096.286818,40,0.0010350000811740756
1673188096.393671,41,0.0009971549734473228
1673188096.500418,42,0.0009613836882635951
1673188096.604861,43,0.000927543209400028
1673188096.702918,44,0.0008955468656495214
1673188096.80501,45,0.000865285808686167
1673188096.903614,46,0.0008365304674953222
1673188097.003422,47,0.0008092682692222297
1673188097.118381,48,0.0007833907729946077
1673188097.220165,49,0.0007587183499708772
1673188097.331697,50,0.0007351748063229024
1673188097.438517,51,0.0007126524578779936
1673188097.56321,52,0.0006911078817211092
1673188097.669126,53,0.0006704989937134087
1673188097.76925,54,0.0006508016958832741
1673188097.870081,55,0.0006319648819044232
1673188097.980398,56,0.0006139164906926453
1673188098.078337,57,0.0005965803284198046
1673188098.181253,58,0.0005799661157652736
1673188098.276286,59,0.0005640046438202262
1673188098.377377,60,0.0005487024900503457
1673188098.475469,61,0.0005340146599337459
1673188098.585621,62,0.000519926252309233
1673188098.687884,63,0.0005063964053988457
1673188098.799023,64,0.0004933849559165537
1673188098.895787,65,0.0004808773228432983
1673188098.999931,66,0.0004688527260441333
1673188099.11151,67,0.00045730240526609123
1673188099.214997,68,0.0004461802600417286
1673188099.317534,69,0.00043546559754759073
1673188099.421517,70,0.0004251481150276959
1673188099.520679,71,0.00041519352816976607
1673188099.630594,72,0.0004055779136251658
1673188099.737026,73,0.00039630517130717635
1673188099.848084,74,0.0003873719833791256
1673188099.964887,75,0.0003787341120187193
1673188100.075051,76,0.0003703829424921423
1673188100.173478,77,0.0003622876538429409
1673188100.273554,78,0.0003543915518093854
1673188100.367793,79,0.00034672589390538633
1673188100.468289,80,0.0003392925427760929
1673188100.561487,81,0.0003320633841212839
1673188100.659315,82,0.0003250321315135807
1673188100.762152,83,0.00031820149160921574
1673188100.863125,84,0.00031156549812294543
1673188100.967054,85,0.0003051251987926662
1673188101.060089,86,0.0002988838532473892
1673188101.163927,87,0.000292839074973017
1673188101.271775,88,0.00028699066024273634
1673188101.379038,89,0.00028131259023211896
1673188101.493569,90,0.00027581039466895163
1673188101.599739,91,0.00027047417825087905
1673188101.708219,92,0.0002652847324497998
1673188101.834118,93,0.00026023792452178895
1673188101.95097,94,0.000255330465734005
1673188102.068226,95,0.0002505662268958986
1673188102.185899,96,0.0002459309180267155
1673188102.304153,97,0.0002414249611319974
1673188102.411398,98,0.00023702869657427073
1673188102.520389,99,0.00023274950217455626
