,0
0,0.9926233549165254
1,0.8807428491941773
2,0.7536511543363628
3,0.6033693785714631
4,0.55113703623266505
5,0.50612894208124367
6,0.4644674854113324
7,0.3306120924725391
8,0.2998800054930224
9,0.2742664595641712
10,0.25048057757096714
11,0.22909081446947438
12,0.21119307099592569
13,0.1941834800314195
14,0.1793402409789586
15,0.1666957778063151
16,0.1537069985550819
17,0.14286510340205513
18,0.13246436749059376
19,0.1238780333706648
20,0.11576751339258534
21,0.10827434431798387
22,0.10168435940943142
23,0.09568919204544313
24,0.09028997630028442
25,0.08518164944235641
26,0.08053494241125513
27,0.07638419519114022
28,0.07244831900859233
29,0.06891380202504668
30,0.06648484222812227
31,0.06612029516755945
32,0.0658205131271688
33,0.06550700186133974
34,0.06519959029732364
35,0.06491575150354074
36,0.06460595730286424
37,0.06430319490114061
38,0.0640172514474333
39,0.0637187051153419
40,0.06342509470068582
41,0.06314951553940773
42,0.06286163301677397
43,0.06258295258820647
44,0.062300058284608446
45,0.062029060806230746
46,0.06176453456282616
47,0.06149046373839426
48,0.06120952961984837
49,0.060948636161513844
