,0
0,0.9668748645499202
1,0.842201585934894
2,0.7282672298544704
3,0.6063897707438703
4,0.5575289244817035
5,0.48200084162230536
6,0.4349693251895432
7,0.38243582458779363
8,0.3237627104249331
9,0.26878378429625294
10,0.24691858504078176
11,0.22752255127571597
12,0.21016910812347242
13,0.19462246779758152
14,0.1805479999373455
15,0.1677928213583361
16,0.15623814103626968
17,0.1457659380860848
18,0.13627850485615212
19,0.12759135058610746
20,0.11966705263251125
21,0.11244242059269755
22,0.10583710095079818
23,0.0998050671550307
24,0.09428556919983118
25,0.08920842102996193
26,0.08452047625243074
27,0.08021592739785072
28,0.07624837636283718
29,0.07256089846170184
30,0.07003823024137776
31,0.06971104120337727
32,0.06939481918026905
33,0.0690766706841417
34,0.0687677898803855
35,0.06845808737348802
36,0.06814871715510835
37,0.06784303622818229
38,0.0675417940215309
39,0.0672437363479397
40,0.0669464363283155
41,0.06664808129541355
42,0.06635672910747552
43,0.06606406218713463
44,0.06577481694593287
45,0.06548787481935307
46,0.0652029319011634
47,0.06491561233997345
48,0.06463413423683384
49,0.06435566714568304
