,train_F1,train_acc,val_F1,val_acc,test_F1,test_acc
0,1.0,1.0,0.8717948717948718,0.8863636363636364,0.8538812785388129,0.8596491228070176
1,1.0,1.0,0.8780487804878049,0.8863636363636364,0.8226950354609929,0.8355263157894737
2,1.0,1.0,0.8717948717948718,0.8863636363636364,0.8519362186788155,0.8574561403508771
3,1.0,1.0,0.85,0.8636363636363636,0.8226950354609929,0.8355263157894737
4,1.0,1.0,0.8717948717948718,0.8863636363636364,0.8623024830699774,0.8662280701754386
5,1.0,1.0,0.85,0.8636363636363636,0.8486238532110092,0.8552631578947368
6,1.0,1.0,0.85,0.8636363636363636,0.8413793103448276,0.8486842105263158
7,1.0,1.0,0.85,0.8636363636363636,0.8519362186788155,0.8574561403508771
8,1.0,1.0,0.8717948717948718,0.8863636363636364,0.8160377358490566,0.8289473684210527
9,1.0,1.0,0.8780487804878049,0.8863636363636364,0.8188235294117647,0.831140350877193
