,train_F1,train_acc,val_F1,val_acc,test_F1,test_acc
0,1.0,1.0,0.85,0.8636363636363636,0.8333333333333334,0.8421052631578947
1,1.0,1.0,0.85,0.8636363636363636,0.8741721854304636,0.875
2,1.0,1.0,0.85,0.8636363636363636,0.7785888077858881,0.8004385964912281
3,1.0,1.0,0.8571428571428572,0.8636363636363636,0.7524752475247525,0.7807017543859649
4,1.0,1.0,0.85,0.8636363636363636,0.8141176470588235,0.8267543859649122
5,1.0,1.0,0.8571428571428572,0.8636363636363636,0.8104265402843601,0.8245614035087719
6,1.0,1.0,0.85,0.8636363636363636,0.8085106382978724,0.8223684210526315
7,1.0,1.0,0.8292682926829269,0.8409090909090909,0.8387096774193549,0.8464912280701754
8,1.0,1.0,0.85,0.8636363636363636,0.8224299065420562,0.8333333333333334
9,1.0,1.0,0.85,0.8636363636363636,0.8411214953271028,0.8508771929824561
