,train_F1,train_acc,val_F1,val_acc,test_F1,test_acc
0,1.0,1.0,0.9,0.9090909090909091,0.7777777777777778,0.7982456140350878
1,1.0,1.0,0.9,0.9090909090909091,0.7661691542288557,0.793859649122807
2,1.0,1.0,0.8717948717948718,0.8863636363636364,0.7333333333333332,0.7719298245614035
3,1.0,1.0,0.9,0.9090909090909091,0.7753086419753086,0.8004385964912281
4,1.0,1.0,0.9,0.9090909090909091,0.7443037974683544,0.7785087719298246
5,1.0,1.0,0.9,0.9090909090909091,0.7300771208226221,0.7697368421052632
6,1.0,1.0,0.8717948717948718,0.8863636363636364,0.7300771208226221,0.7697368421052632
7,1.0,1.0,0.9,0.9090909090909091,0.7216494845360825,0.7631578947368421
8,1.0,1.0,0.9,0.9090909090909091,0.7455919395465995,0.7785087719298246
9,1.0,1.0,0.9,0.9090909090909091,0.7649999999999999,0.793859649122807
