,train_F1,train_acc,val_F1,val_acc,test_F1,test_acc
0,1.0,1.0,0.85,0.8636363636363636,0.8160377358490566,0.8289473684210527
1,1.0,1.0,0.85,0.8636363636363636,0.8421052631578948,0.8486842105263158
2,1.0,1.0,0.85,0.8636363636363636,0.8188235294117647,0.831140350877193
3,1.0,1.0,0.8780487804878049,0.8863636363636364,0.8175519630484988,0.8267543859649122
4,1.0,1.0,0.8780487804878049,0.8863636363636364,0.7766990291262135,0.7982456140350878
5,1.0,1.0,0.85,0.8636363636363636,0.8095238095238095,0.8245614035087719
6,1.0,1.0,0.85,0.8636363636363636,0.801909307875895,0.8179824561403509
7,1.0,1.0,0.8292682926829269,0.8409090909090909,0.8473804100227791,0.8530701754385965
8,1.0,1.0,0.85,0.8636363636363636,0.8314087759815242,0.8399122807017544
9,1.0,1.0,0.8292682926829269,0.8409090909090909,0.8149882903981264,0.8267543859649122
