,train_F1,train_acc,val_F1,val_acc,test_F1,test_acc
0,1.0,1.0,0.8780487804878049,0.8863636363636364,0.8298368298368298,0.8399122807017544
1,1.0,1.0,0.85,0.8636363636363636,0.8243559718969555,0.8355263157894737
2,1.0,1.0,0.85,0.8636363636363636,0.839907192575406,0.8486842105263158
3,1.0,1.0,0.85,0.8636363636363636,0.823529411764706,0.8355263157894737
4,1.0,1.0,0.8780487804878049,0.8863636363636364,0.7911547911547911,0.8135964912280702
5,1.0,1.0,0.8571428571428572,0.8636363636363636,0.8309859154929577,0.8421052631578947
6,1.0,1.0,0.85,0.8636363636363636,0.8314087759815242,0.8399122807017544
7,1.0,1.0,0.8292682926829269,0.8409090909090909,0.8459770114942529,0.8530701754385965
8,1.0,1.0,0.85,0.8636363636363636,0.839907192575406,0.8486842105263158
9,1.0,1.0,0.8292682926829269,0.8409090909090909,0.8215962441314555,0.8333333333333334
