,0
0,57.425743103027344
1,62.37623596191406
2,82.17821502685547
3,79.20791625976562
4,73.26732635498047
5,69.30693054199219
6,78.21781921386719
7,81.18811798095703
8,79.20791625976562
9,82.17821502685547
10,93.06930541992188
11,92.07920837402344
12,89.1089096069336
13,93.06930541992188
14,90.09900665283203
15,93.06930541992188
16,86.13861083984375
17,85.14851379394531
18,94.05940246582031
19,97.02970123291016
20,96.03960418701172
21,92.07920837402344
22,98.0197982788086
23,97.02970123291016
24,97.02970123291016
25,99.00990295410156
26,98.0197982788086
27,98.0197982788086
28,99.00990295410156
29,97.02970123291016
30,99.00990295410156
31,100.0
32,99.00990295410156
33,100.0
34,98.0197982788086
35,98.0197982788086
36,98.0197982788086
37,100.0
38,100.0
39,99.00990295410156
40,100.0
41,100.0
42,100.0
43,100.0
44,98.0197982788086
45,99.00990295410156
46,100.0
47,100.0
48,100.0
49,100.0
