,0
0,0.9803676149632671
1,0.9471257903316233
2,0.8401213457560776
3,0.7767210288213032
4,0.7202395187274064
5,0.6968426655542733
6,0.6493118328033107
7,0.6162806357133507
8,0.5270474315633868
9,0.46686991053052467
10,0.4294152594674932
11,0.33499461208092104
12,0.24142265718172093
13,0.20561567996398056
14,0.24722865210975162
15,0.1790361481137795
16,0.2697007451999453
17,0.27035002670075634
18,0.2059424638858821
19,0.12679756049177435
20,0.14081939944241306
21,0.15418849973985466
22,0.09333834365600406
23,0.13175742495067344
24,0.0911747293067303
25,0.056880506751413394
26,0.06803592455822348
27,0.06719675678575393
28,0.040496382832361184
29,0.07838317650453289
30,0.026361215255675044
31,0.03289896909995835
32,0.029511659959386483
33,0.02203675850045563
34,0.055446602251970824
35,0.026710085932737087
36,0.0285146951048386
37,0.02011901450961238
38,0.019044843410132545
39,0.03735099668098189
40,0.02199539745521575
41,0.008946531659711411
42,0.02083988200024803
43,0.015613932738836744
44,0.039321919407529556
45,0.019865093107270724
46,0.02853755973795853
47,0.013565565452514456
48,0.018913432402480945
49,0.016709635769579522
