,0
0,0.9920170211555934
1,0.8771812114385095
2,0.7437236908638831
3,0.6125576242361919
4,0.5463503121149422
5,0.45496386614176304
6,0.3446753014727394
7,0.21517620715174343
8,0.14487114784741165
9,0.1084477518602173
10,0.074975601554212
11,0.07923706849612812
12,0.06631060828925064
13,0.0862920670355163
14,0.034031799385822056
15,0.05599115935550763
16,0.04415003680577963
17,0.028446582173651987
18,0.03026945358326677
19,0.03476348511026342
20,0.017225793502892894
21,0.019153131935100008
22,0.012915456075092206
23,0.00805039614632652
24,0.009776929089117169
25,0.008730825766377003
26,0.004956600154833038
27,0.0034688571277812197
28,0.0038361969423517214
29,0.005767002847278491
30,0.005208279397788154
31,0.004134762699953234
32,0.0042141127339011
33,0.003704226742058273
34,0.0029622064047552976
35,0.002280976152448629
36,0.003346012979584497
37,0.0027060199051745014
38,0.003072320712997698
39,0.00242115511722623
40,0.0017017803611902354
41,0.005594612542415351
42,0.0026518935769897804
43,0.0023258473501669816
44,0.0025029672133404356
45,0.002618759112676956
46,0.0022302701819162485
47,0.0016782433912619064
48,0.0018195571711558923
49,0.0023108830206939896
